ANHO_ING,sexo,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,F,POSTROR,3,2.0,,,,0.6666666666666666,,,,POSTITUTLO
2007,F,PRE,31,15.0,5.0,1.0,,0.4838709677419355,0.16129032258064516,0.03225806451612903,,PREGRADO
2007,F,PSI,52,46.0,45.0,44.0,44.0,0.8846153846153846,0.8653846153846154,0.8461538461538461,0.8461538461538461,PREGRADO
2007,F,PUB,37,34.0,30.0,29.0,28.0,0.918918918918919,0.8108108108108109,0.7837837837837838,0.7567567567567568,PREGRADO
2007,F,TAI,4,3.0,3.0,2.0,,0.75,0.75,0.5,,PREGRADO
2007,F,TAP,65,56.0,49.0,16.0,5.0,0.8615384615384616,0.7538461538461538,0.24615384615384617,0.07692307692307693,PREGRADO
2007,F,TCI,19,16.0,15.0,10.0,1.0,0.8421052631578947,0.7894736842105263,0.5263157894736842,0.05263157894736842,PREGRADO
2007,F,TCO,10,7.0,6.0,5.0,,0.7,0.6,0.5,,PREGRADO
2007,F,TDI,15,15.0,13.0,9.0,5.0,1.0,0.8666666666666667,0.6,0.3333333333333333,PREGRADO
2007,F,TEA,77,68.0,60.0,35.0,7.0,0.8831168831168831,0.7792207792207793,0.45454545454545453,0.09090909090909091,PREGRADO
2007,F,TEC,29,25.0,23.0,18.0,8.0,0.8620689655172413,0.7931034482758621,0.6206896551724138,0.27586206896551724,PREGRADO
2007,F,TMI,13,11.0,7.0,6.0,2.0,0.8461538461538461,0.5384615384615384,0.46153846153846156,0.15384615384615385,PREGRADO
2007,F,TQF,18,12.0,13.0,5.0,,0.6666666666666666,0.7222222222222222,0.2777777777777778,,PREGRADO
2007,F,TRD,52,44.0,,1.0,,0.8461538461538461,,0.019230769230769232,,PREGRADO
2007,F,TUI,9,7.0,,,,0.7777777777777778,,,,PREGRADO
2007,M,ADMPUB,52,49.0,47.0,44.0,44.0,0.9423076923076923,0.9038461538461539,0.8461538461538461,0.8461538461538461,PREGRADO
2007,M,ARQ,32,31.0,29.0,28.0,28.0,0.96875,0.90625,0.875,0.875,PREGRADO
2007,M,BACHI,49,34.0,14.0,,,0.6938775510204082,0.2857142857142857,,,PREGRADO
2007,M,CCIV,79,67.0,52.0,20.0,4.0,0.8481012658227848,0.6582278481012658,0.25316455696202533,0.05063291139240506,PREGRADO
2007,M,CONTA,90,69.0,61.0,59.0,58.0,0.7666666666666667,0.6777777777777778,0.6555555555555556,0.6444444444444445,PREGRADO
2007,M,DIPAGR,5,,,,,,,,,DIPLOMADO
2007,M,DIPAN,18,,,,,,,,,DIPLOMADO
2007,M,DIPAP,21,,,,,,,,,DIPLOMADO
2007,M,DIPAPR,18,,,,,,,,,DIPLOMADO
2007,M,DIPAR,12,,,,,,,,,DIPLOMADO
2007,M,DIPCD,9,,,,,,,,,DIPLOMADO
2007,M,DIPCSA,12,,,,,,,,,DIPLOMADO
2007,M,DIPDHG,11,,,,,,,,,DIPLOMADO
2007,M,DIPEG,9,,,,,,,,,DIPLOMADO
2007,M,DIPEGCR,44,,,,,,,,,DIPLOMADO
2007,M,DIPEPC,16,,,,,,,,,DIPLOMADO
2007,M,DIPEREG,6,,,,,,,,,DIPLOMADO
2007,M,DIPET,57,,,,,,,,,DIPLOMADO
2007,M,DIPGA,18,,,,,,,,,DIPLOMADO
2007,M,DIPGC,6,,,,,,,,,DIPLOMADO
2007,M,DIPGCA,50,,,,,,,,,DIPLOMADO
2007,M,DIPGCLC,5,,,,,,,,,DIPLOMADO
2007,M,DIPGES,13,,,,,,,,,DIPLOMADO
2007,M,DIPGFIN,7,,,,,,,,,DIPLOMADO
2007,M,DIPGINM,7,,,,,,,,,DIPLOMADO
2007,M,DIPGLDN,2,,,,,,,,,DIPLOMADO
2007,M,DIPGLGC,6,,,,,,,,,DIPLOMADO
