ANHO_ING,sexo,CODIGO_CARRERA_x,SIES_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,F,ICMET,I71S1C21J1V1,10,7.0,7.0,7.0,7.0,0.7,0.7,0.7,0.7,PREGRADO
2007,F,ICMIN,I71S1C122J2V1,5,4.0,4.0,3.0,,0.8,0.8,0.6,,PREGRADO
2007,F,ICMIN,I71S1C17J1V1,17,16.0,15.0,12.0,12.0,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.7058823529411765,PREGRADO
2007,F,ICOBR,I71S1C18J1V1,20,18.0,18.0,18.0,18.0,0.9,0.9,0.9,0.9,PREGRADO
2007,F,ICQUIM,I71S1C22J1V1,18,18.0,17.0,14.0,13.0,1.0,0.9444444444444444,0.7777777777777778,0.7222222222222222,PREGRADO
2007,F,IEAMB,I71S1C123J2V1,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,PREGRADO
2007,F,IECLIM,I71S1C35J1V1,8,5.0,6.0,5.0,5.0,0.625,0.75,0.625,0.625,PREGRADO
2007,F,IEELEC,I71S1C125J2V1,4,3.0,2.0,2.0,,0.75,0.5,0.5,,PREGRADO
2007,F,IEELEC,I71S1C25J1V1,5,4.0,4.0,4.0,2.0,0.8,0.8,0.8,0.4,PREGRADO
2007,F,IEGEOM,I71S1C126J2V1,4,2.0,1.0,,,0.5,0.25,,,PREGRADO
2007,F,IEGEOM,I71S1C27J1V1,17,11.0,8.0,8.0,7.0,0.6470588235294118,0.47058823529411764,0.47058823529411764,0.4117647058823529,PREGRADO
2007,F,IEIND,I71S1C127J2V1,14,12.0,11.0,9.0,4.0,0.8571428571428571,0.7857142857142857,0.6428571428571429,0.2857142857142857,PREGRADO
2007,F,IEIND,I71S1C31J1V1,28,19.0,21.0,20.0,11.0,0.6785714285714286,0.75,0.7142857142857143,0.39285714285714285,PREGRADO
2007,F,IEINF,I71S1C124J2V1,1,,,,,,,,,PREGRADO
2007,F,IEINF,I71S1C24J1V1,7,7.0,6.0,6.0,6.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,PREGRADO
2007,F,IEMEC,I71S1C128J2V1,5,3.0,2.0,1.0,1.0,0.6,0.4,0.2,0.2,PREGRADO
2007,F,IEMEC,I71S1C32J1V1,3,3.0,2.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,PREGRADO
2007,F,IEMET,I71S1C28J1V1,13,4.0,4.0,3.0,3.0,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.23076923076923078,PREGRADO
2007,F,IEMIN,I71S1C29J1V1,23,12.0,13.0,12.0,11.0,0.5217391304347826,0.5652173913043478,0.5217391304347826,0.4782608695652174,PREGRADO
2007,F,IEQUIM,I71S1C30J1V1,18,14.0,13.0,12.0,11.0,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6111111111111112,PREGRADO
2007,F,INGAGRO,I71S1C101J1V1,32,29.0,29.0,28.0,26.0,0.90625,0.90625,0.875,0.8125,PREGRADO
2007,F,INGAL,I71S1C36J1V1,33,24.0,22.0,21.0,21.0,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.6363636363636364,PREGRADO
2007,F,INGAMB,I71S1C34J1V1,21,15.0,13.0,13.0,13.0,0.7142857142857143,0.6190476190476191,0.6190476190476191,0.6190476190476191,PREGRADO
2007,F,INGBIO,I71S1C141J1V1,17,14.0,14.0,14.0,14.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,PREGRADO
2007,F,INGCO,I71S1C133J2V1,22,21.0,21.0,6.0,5.0,0.9545454545454546,0.9545454545454546,0.2727272727272727,0.22727272727272727,PREGRADO
2007,F,INGCO,I71S1C23J1V1,62,51.0,51.0,49.0,49.0,0.8225806451612904,0.8225806451612904,0.7903225806451613,0.7903225806451613,PREGRADO
2007,F,INGEST,I71S1C37J1V1,17,13.0,13.0,10.0,9.0,0.7647058823529411,0.7647058823529411,0.5882352941176471,0.5294117647058824,PREGRADO
2007,F,INGFI,I71S1C38J1V1,19,13.0,7.0,7.0,7.0,0.6842105263157895,0.3684210526315789,0.3684210526315789,0.3684210526315789,PREGRADO
2007,F,INGMA,I71S1C100J1V1,17,10.0,8.0,6.0,5.0,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.29411764705882354,PREGRADO
2007,F,LAT,I71S1C46J1V1,39,36.0,32.0,30.0,28.0,0.9230769230769231,0.8205128205128205,0.7692307692307693,0.717948717948718,PREGRADO
2007,F,LCC,I71S1C39J1V1,11,10.0,7.0,7.0,6.0,0.9090909090909091,0.6363636363636364,0.6363636363636364,0.5454545454545454,PREGRADO
2007,F,LEB,I71S1C5J1V1,21,18.0,16.0,15.0,14.0,0.8571428571428571,0.7619047619047619,0.7142857142857143,0.6666666666666666,PREGRADO
2007,F,LEE,I71S1C142J1V1,23,20.0,18.0,16.0,16.0,0.8695652173913043,0.782608695652174,0.6956521739130435,0.6956521739130435,PREGRADO
2007,F,LEI,I71S1C129J2V1,30,25.0,23.0,24.0,2.0,0.8333333333333334,0.7666666666666667,0.8,0.06666666666666667,PREGRADO
2007,F,LEM,I71S1C130J2V1,7,7.0,5.0,1.0,1.0,1.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,PREGRADO
2007,F,LFM,I71S1C41J1V1,19,13.0,12.0,3.0,2.0,0.6842105263157895,0.631578947368421,0.15789473684210525,0.10526315789473684,PREGRADO
2007,F,LICAF,I71S1C111J1V1,25,23.0,22.0,21.0,21.0,0.92,0.88,0.84,0.84,PREGRADO
2007,F,LQC,I71S1C73J1V1,21,19.0,18.0,17.0,15.0,0.9047619047619048,0.8571428571428571,0.8095238095238095,0.7142857142857143,PREGRADO
2007,F,MAGADE,I71S1C87J2V1,12,11.0,2.0,2.0,1.0,0.9166666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,MAGISTER
2007,F,MAGARH,I71S1C85J2V1,10,10.0,9.0,9.0,4.0,1.0,0.9,0.9,0.4,MAGISTER
2007,F,MAGCAG,I71S1C89J2V1,3,,,,1.0,,,,0.3333333333333333,MAGISTER
2007,F,MAGCDI,I71S1C55J1V1,5,5.0,1.0,,,1.0,0.2,,,MAGISTER
2007,F,MAGEDU,I71S1C135J2V1,20,19.0,10.0,7.0,3.0,0.95,0.5,0.35,0.15,MAGISTER
